"subjectid","sex","age"
100206,"M",28
100307,"F",28
100408,"M",33
100610,"M",28
101006,"F",33
101107,"M",23.5
101309,"M",28
101410,"M",28
101915,"F",33
102008,"M",23.5
102109,"M",28
102311,"F",28
102513,"M",28
102614,"M",23.5
102715,"M",28
102816,"F",28
103010,"M",23.5
103111,"M",28
103212,"M",33
103414,"F",23.5
103515,"F",28
103818,"F",33
104012,"F",28
104416,"F",33
104820,"F",36
105014,"F",28
105115,"M",33
105216,"M",28
105620,"F",33
105923,"F",33
106016,"F",33
106319,"M",28
106521,"F",28
106824,"M",23.5
107018,"F",28
107321,"F",23.5
107422,"M",23.5
107725,"F",33
108020,"M",23.5
108121,"F",28
108222,"M",33
108323,"F",28
108525,"M",23.5
108828,"M",33
109123,"M",33
109830,"F",33
110007,"F",33
110411,"M",33
110613,"M",28
111009,"F",28
111211,"F",28
111312,"F",33
111413,"F",28
111514,"M",33
111716,"F",33
112112,"M",28
112314,"F",28
112516,"F",33
112819,"F",28
112920,"M",33
113215,"F",28
113316,"M",23.5
113619,"F",33
113922,"M",33
114217,"F",28
114419,"M",33
114621,"M",28
114823,"F",33
115017,"F",33
115320,"F",33
115724,"F",23.5
115825,"M",23.5
116221,"M",23.5
116423,"M",28
116524,"M",28
116726,"M",28
117021,"F",28
117122,"F",28
117324,"F",23.5
117930,"F",33
118023,"F",28
118124,"F",33
118225,"M",28
118528,"F",28
118730,"M",23.5
118831,"M",23.5
119025,"M",28
119126,"F",23.5
119732,"F",33
119833,"F",28
120010,"F",28
120111,"F",28
120212,"F",33
120414,"F",28
120515,"F",28
120717,"F",33
121416,"M",28
121618,"M",33
121719,"F",33
121921,"M",33
122418,"F",28
122620,"M",28
122822,"F",33
123117,"M",28
123420,"F",28
123521,"M",23.5
123723,"F",33
123925,"F",28
124220,"M",33
124422,"F",33
124624,"F",28
124826,"F",33
125222,"M",28
125424,"F",33
125525,"F",33
126325,"F",28
126426,"F",33
126628,"M",33
127226,"M",23.5
127630,"F",23.5
127731,"F",33
127832,"F",33
127933,"M",33
128026,"F",28
128127,"F",28
128632,"F",33
128935,"M",33
129028,"M",28
129129,"F",33
129331,"F",28
129634,"M",23.5
129937,"F",28
200008,"F",28
200109,"F",33
200210,"M",28
200311,"M",33
200513,"M",23.5
200614,"F",33
200917,"F",23.5
201111,"M",28
201414,"F",23.5
201515,"M",28
201818,"F",28
202113,"F",23.5
202719,"M",23.5
202820,"F",36
203418,"M",28
203923,"F",28
204016,"F",23.5
204218,"M",28
204319,"F",28
204420,"F",28
204521,"F",33
204622,"F",28
205119,"M",33
205220,"F",28
205725,"F",23.5
205826,"M",33
206222,"M",28
206323,"F",33
206525,"M",28
206727,"M",23.5
206828,"M",23.5
206929,"M",33
207123,"M",28
207426,"M",28
208125,"F",28
208226,"F",23.5
208327,"M",28
208630,"M",33
209127,"F",33
209228,"F",28
209329,"F",33
209935,"M",23.5
210011,"M",23.5
210112,"M",23.5
210415,"F",28
210617,"F",33
211215,"M",28
211417,"M",36
211619,"M",28
211720,"M",33
211821,"M",28
212015,"M",23.5
212116,"M",28
213017,"M",23.5
213522,"M",28
214423,"M",23.5
214524,"M",23.5
214726,"M",23.5
217126,"M",23.5
219231,"M",28
220721,"M",28
223929,"M",33
227432,"M",33
300618,"M",23.5
300719,"M",28
303624,"M",33
304020,"M",33
308129,"M",23.5
